Player,Free Agent Year,Age,Actual AAV % Cap,Predicted AAV % Cap,Difference,Absolute Difference,Contract Evaluation,Predicted Future VORP,Future VORP Percentile,Future Production Rank,Future Production Tier,Future VORP per 1% Cap,Cap Efficiency Rank,Notes
Matisse Thybulle,2026,28.0,0.0199,0.044072228920066285,0.024172228920066284,0.024172228920066284,Underpaid,0.7062765755248072,80.2,22,Above Average,0.3549128520225161,13,
Bogdan Bogdanovic,2026,33.0,0.021400000000000002,0.04583533483911752,0.024435334839117515,0.024435334839117515,Underpaid,-0.07606543720647879,9.4,97,Low,-0.03554459682545738,95,
Collin Sexton,2026,27.0,0.0582,0.08372581835763432,0.025525818357634317,0.025525818357634317,Underpaid,0.8032950489395829,85.8,16,Above Average,0.1380232042851517,37,
Gary Payton II,2026,33.0,0.0235,0.0545925584204415,0.0310925584204415,0.0310925584204415,Underpaid,0.7433301778206944,81.1,21,Above Average,0.31631071396625293,16,
Bones Hyland,2026,25.0,0.0173,0.04899387480755832,0.03169387480755832,0.03169387480755832,Underpaid,1.165282343541214,93.4,8,Elite,0.6735736089833607,8,
Anfernee Simons,2026,26.0,0.0373,0.07628464241033847,0.03898464241033847,0.03898464241033847,Underpaid,0.5385865081077004,72.6,30,Above Average,0.1443931657125202,33,
Kyle Anderson,2026,32.0,0.0235,0.06339669697867045,0.03989669697867045,0.03989669697867045,Underpaid,0.5103024463909436,70.8,32,Above Average,0.21714997718763557,20,
Al Horford,2026,39.0,0.0424,0.08378949800077842,0.04138949800077842,0.04138949800077842,Underpaid,0.3929829849236427,64.2,39,Average,0.0926846662555761,50,
Mike Conley,2026,38.0,0.0235,0.0878143209988819,0.0643143209988819,0.0643143209988819,Underpaid,0.21764099376840335,43.4,61,Average,0.09261318883761845,51,
Nikola Vucevic,2026,35.0,0.0235,0.11607596514289781,0.09257596514289781,0.09257596514289781,Underpaid,0.9335099190838909,91.5,10,Elite,0.39723826343995355,11,Age 35+ — model has limited visibility into late-career decline
LeBron James,2026,41.0,0.0241,0.2062600721054253,0.18216007210542529,0.18216007210542529,Underpaid,1.6687871168306805,99.1,2,Elite,0.6924427870666724,7,"Age 41 — beyond the model's training range (max age in training data: 39); future-VORP projection should be treated as extrapolation, not a reliable forecast"
